SA_UUID, Interval Timestamp, Delivered From Grid Value (Wh), Back To Grid Value (Wh)
6745359, Mon Nov 01 2021 08:00:00 GMT-0700 (Pacific Daylight Time), 2081, 0
6745359, Mon Nov 01 2021 09:00:00 GMT-0700 (Pacific Daylight Time), 1884, 0
6745359, Mon Nov 01 2021 10:00:00 GMT-0700 (Pacific Daylight Time), 463, 0
6745359, Mon Nov 01 2021 11:00:00 GMT-0700 (Pacific Daylight Time), 203, 0
6745359, Mon Nov 01 2021 12:00:00 GMT-0700 (Pacific Daylight Time), 227, 48
6745359, Mon Nov 01 2021 13:00:00 GMT-0700 (Pacific Daylight Time), 61, 245
6745359, Mon Nov 01 2021 14:00:00 GMT-0700 (Pacific Daylight Time), 296, 33
6745359, Mon Nov 01 2021 15:00:00 GMT-0700 (Pacific Daylight Time), 392, 2
6745359, Mon Nov 01 2021 16:00:00 GMT-0700 (Pacific Daylight Time), 987, 0
6745359, Mon Nov 01 2021 17:00:00 GMT-0700 (Pacific Daylight Time), 805, 0
6745359, Mon Nov 01 2021 18:00:00 GMT-0700 (Pacific Daylight Time), 1287, 0
6745359, Mon Nov 01 2021 19:00:00 GMT-0700 (Pacific Daylight Time), 1192, 0
6745359, Mon Nov 01 2021 20:00:00 GMT-0700 (Pacific Daylight Time), 1030.999, 0
6745359, Mon Nov 01 2021 21:00:00 GMT-0700 (Pacific Daylight Time), 1054, 0
6745359, Mon Nov 01 2021 22:00:00 GMT-0700 (Pacific Daylight Time), 710, 0
6745359, Mon Nov 01 2021 23:00:00 GMT-0700 (Pacific Daylight Time), 435, 0
6745359, Tue Nov 02 2021 00:00:00 GMT-0700 (Pacific Daylight Time), 1493, 0
6745359, Tue Nov 02 2021 01:00:00 GMT-0700 (Pacific Daylight Time), 1454, 0
6745359, Tue Nov 02 2021 02:00:00 GMT-0700 (Pacific Daylight Time), 341, 0
6745359, Tue Nov 02 2021 03:00:00 GMT-0700 (Pacific Daylight Time), 406, 0
6745359, Tue Nov 02 2021 04:00:00 GMT-0700 (Pacific Daylight Time), 328, 0
6745359, Tue Nov 02 2021 05:00:00 GMT-0700 (Pacific Daylight Time), 326, 0
6745359, Tue Nov 02 2021 06:00:00 GMT-0700 (Pacific Daylight Time), 385, 0
6745359, Tue Nov 02 2021 07:00:00 GMT-0700 (Pacific Daylight Time), 955, 0
6745359, Tue Nov 02 2021 08:00:00 GMT-0700 (Pacific Daylight Time), 528, 0
6745359, Tue Nov 02 2021 09:00:00 GMT-0700 (Pacific Daylight Time), 210, 0
6745359, Tue Nov 02 2021 10:00:00 GMT-0700 (Pacific Daylight Time), 90, 25
6745359, Tue Nov 02 2021 11:00:00 GMT-0700 (Pacific Daylight Time), 210, 3
6745359, Tue Nov 02 2021 12:00:00 GMT-0700 (Pacific Daylight Time), 451, 112
6745359, Tue Nov 02 2021 13:00:00 GMT-0700 (Pacific Daylight Time), 7, 643
6745359, Tue Nov 02 2021 14:00:00 GMT-0700 (Pacific Daylight Time), 1, 715
6745359, Tue Nov 02 2021 15:00:00 GMT-0700 (Pacific Daylight Time), 49, 395
6745359, Tue Nov 02 2021 16:00:00 GMT-0700 (Pacific Daylight Time), 265, 35
6745359, Tue Nov 02 2021 17:00:00 GMT-0700 (Pacific Daylight Time), 451, 0
6745359, Tue Nov 02 2021 18:00:00 GMT-0700 (Pacific Daylight Time), 2529, 0
6745359, Tue Nov 02 2021 19:00:00 GMT-0700 (Pacific Daylight Time), 1164, 0
6745359, Tue Nov 02 2021 20:00:00 GMT-0700 (Pacific Daylight Time), 1004.999, 0
6745359, Tue Nov 02 2021 21:00:00 GMT-0700 (Pacific Daylight Time), 959, 0
6745359, Tue Nov 02 2021 22:00:00 GMT-0700 (Pacific Daylight Time), 996, 0
6745359, Tue Nov 02 2021 23:00:00 GMT-0700 (Pacific Daylight Time), 559, 0
6745359, Wed Nov 03 2021 00:00:00 GMT-0700 (Pacific Daylight Time), 1557, 0
6745359, Wed Nov 03 2021 01:00:00 GMT-0700 (Pacific Daylight Time), 1447, 0
